Year,Month,Water Intake (Purchased),Water Use (Sweat) - Use,Water Loss,Wastewater Disposal (Outside),Total Energy,Energy Pruchased (Electricity),Energy (Diesel),Total Waste,Total Hazardous Waste (Landfil),Hazardous Waste (Stream # 1),Hazardous Waste (Maintenace Oil)(With Density 0_93),Total Non-Hazardous ( Landfill + Recycling),Non-Hazardous Waste (Scrap Recycling)),Non-Hazardous Waste (Disposal),Total GHG (CO2),Total Consumption R22 Gas,Cost of Water (Sweat) Purchase_Treatment_Water Waste_Disposal,Cost of Pruchased Electricity,Cost of Diesel,Cost of R22 Gas,Cost of Hazardouse Waste Disposal,Cost of Non-Hazardouse Waste Disposal,Total Production Volume (Pallets Issue),Total Production Volume (Pallets Receive),Total Area (Floor Covered Area),Intensity - Water,Intensity - Energy,Intensity - Energy (Electricity),Intensity - Energy (Diesel),Intensity - GHG (CO2) - Scope 1 and 2,Intensity - Waste Material,Total Cost,Comment
2020,January,78,78,66.3,11.7,664.67,161836,2000,12,0,0,0,12,0,12,119.81,280,556,52285.2,1000,4480,0,575,6470,5939,8990,0.01,0.1,25.01,0.31,0.02,0,58896.2,
2020,February,62,62,52.7,9.3,624.02,150545,2000,12,0,0,0,12,0,12,111.87,280,448,48528,1000,4480,0,575,3652,2864,8990,0.02,0.17,41.22,0.55,0.03,0,55031,
2020,March,80,80,68,12,637.57,154309,2000,12,0,0,0,12,0,12,114.52,280,576,50012,1000,4480,0,575,2633,1913,8990,0.03,0.24,58.61,0.76,0.04,0,56643,
2020,April,183,183,155.55,27.45,664.67,161836,2000,12,0,0,0,12,0,12,119.81,280,1316,23071,1000,4480,0,575,1959,2892,8990,0.09,0.34,82.61,1.02,0.06,0.01,30442,
2020,May,410,410,348.5,61.5,962.75,244636,2000,12,0,0,0,12,0,12,178.02,280,2949,79725,1000,4480,0,575,1422,2034,8990,0.29,0.68,172.04,1.41,0.13,0.01,88729,
2020,June,781,781,663.85,117.15,1030.49,263454,2000,12,0,0,0,12,0,12,191.25,280,5618,85372,1000,4480,0,575,2035,1754,8990,0.38,0.51,129.46,0.98,0.09,0.01,97045,
2020,July,926,926,787.1,138.9,1152.44,297327,2000,12,0,0,0,12,0,12,215.06,280,7294,104841,1000,4480,0,575,798,1515,8990,1.16,1.44,372.59,2.51,0.27,0.02,118190,
2020,August,824,824,700.4,123.6,1057.59,270981,2000,12,0,0,0,12,0,12,196.54,280,6494,96539,1000,4480,0,575,2024,2002,8990,0.41,0.52,133.88,0.99,0.1,0.01,109088,
2020,September,437,437,371.45,65.55,854.36,214527,2000,12,0,0,0,12,0,12,156.85,280,3443,76254,1000,4480,0,575,1502,1139,8990,0.29,0.57,142.83,1.33,0.1,0.01,85752,
2020,October,134,134,113.9,20.1,718.87,176891,2000,12,0,0,0,12,0,12,130.39,280,1052,62803,1000,4480,0,575,1168,1189,8990,0.11,0.62,151.45,1.71,0.11,0.01,69910,
2020,November,76,76,64.6,11.4,664.67,161836,2000,12,0,0,0,12,0,12,119.81,280,600,57812,1000,4480,0,575,974,2432,8990,0.08,0.68,166.16,2.05,0.12,0.01,64467,
2020,December,55,55,46.75,8.25,664.67,161836,2000,291,279,0,279,12,0,12,119.81,280,430,57379,1000,4480,0,575,944,1962,8990,0.06,0.7,171.44,2.12,0.13,0.31,63864,
2021,January,64,64,54.4,9.6,651.12,158072,2000,12,0,0,0,12,0,12,117.16,280,506,55854,1000,4480,0,575,933,1979,8990,0.07,0.7,169.42,2.14,0.13,0.01,62415,
2021,February,87,87,73.95,13.05,752.74,186299,2000,12,0,0,0,12,0,12,137.01,280,711,66004,1000,4480,0,575,848,2891,8990,0.1,0.89,219.69,2.36,0.16,0.01,72770,
2021,March,297,297,252.45,44.55,752.74,186299,2000,12,0,0,0,12,0,12,137.01,280,2440,66004,1000,4480,0,575,1069,2769,8990,0.28,0.7,174.27,1.87,0.13,0.01,74499,
2021,April,316,316,268.6,47.4,949.2,240872,2000,12,0,0,0,12,0,12,175.37,280,2598,85909,1000,4480,0,575,2320,2254,8990,0.14,0.41,103.82,0.86,0.08,0.01,94562,
2021,May,632,632,537.2,94.8,1098.24,282272,2000,12,0,0,0,12,0,12,204.48,280,5187,100554,1000,4480,0,575,2290,2217,8990,0.28,0.48,123.26,0.87,0.09,0.01,111796,
2021,June,884,884,751.4,132.6,1098.24,282272,2000,12,0,0,0,12,0,12,204.48,280,7259,100337,1000,4480,0,575,2179,1987,8990,0.41,0.5,129.54,0.92,0.09,0.01,113651,
2021,July,915,915,777.75,137.25,1084.69,278509,2000,12,0,0,0,12,0,12,201.83,280,7510,99360,1000,4480,0,575,1528,2766,8990,0.6,0.71,182.27,1.31,0.13,0.01,112925,
2021,August,989,989,840.65,148.35,1111.79,286036,2000,12,0,0,0,12,0,12,207.12,280,8121,101747,1000,4480,0,575,2265,2425,8990,0.44,0.49,126.29,0.88,0.09,0.01,115923,
2021,September,555,555,471.75,83.25,1057.59,270981,2000,12,0,0,0,12,0,12,196.54,280,4555,96323,1000,4480,0,575,2553,2243,8990,0.22,0.41,106.14,0.78,0.08,0,106933,
2021,October,284,284,241.4,42.6,935.65,237109,2000,12,0,0,0,12,0,12,172.73,280,2330,84499,1000,4480,0,575,1645,2486,8990,0.17,0.57,144.14,1.22,0.11,0.01,92884,
2021,November,139,139,118.15,20.85,827.26,207000,2000,12,0,0,0,12,0,12,151.56,280,1142,93651,1000,4480,0,575,2244,3217,8990,0.06,0.37,92.25,0.89,0.07,0.01,100848,
2021,December,91,91,77.35,13.65,786.61,195709,2000,291,279,0,279,12,0,12,143.62,280,746,69807,1000,4480,0,575,2691,2537,8990,0.03,0.29,72.73,0.74,0.05,0.11,76608,
2022,January,86,86,73.1,12.9,759.52,188182,2000,12,0,0,0,12,0,12,138.33,280,709,66702,1036,4480,0,575,2179,2771,8990,0.04,0.35,86.36,0.92,0.06,0.01,73502,
2022,February,80,80,68,12,759.52,188182,2000,12,0,0,0,12,0,12,138.33,280,653,66771,1036,4480,0,575,2602,2387,8990,0.03,0.29,72.32,0.77,0.05,0,73515,
2022,March,130,130,110.5,19.5,813.71,203236,2000,12,0,0,0,12,0,12,148.91,280,1069,72457,1036,4480,0,575,4164,1845,8990,0.03,0.2,48.81,0.48,0.04,0,79617,
2022,April,303,303,257.55,45.45,949.2,240872,2000,12,0,0,0,12,0,12,175.37,280,2488,85692,1036,4480,0,575,2878,2765,8990,0.11,0.33,83.69,0.69,0.06,0,94271,
2022,May,528,528,448.8,79.2,1044.04,267218,2000,12,0,0,0,12,0,12,193.89,280,4337,95346,1036,4480,0,575,2192,2698,8990,0.24,0.48,121.91,0.91,0.09,0.01,105774,
2022,June,730,730,620.5,109.5,1044.04,267218,2000,12,0,0,0,12,0,12,193.89,280,5998,95346,1036,4480,0,575,2057,2283,8990,0.35,0.51,129.91,0.97,0.09,0.01,107435,
2022,July,755,755,641.75,113.25,1016.94,259690,2000,12,0,0,0,12,0,12,188.6,280,6191,92525,1036,4480,0,575,1518,2062,8990,0.5,0.67,171.07,1.32,0.12,0.01,104807,
2022,August,883,883,750.55,132.45,1206.63,312381,2000,12,0,0,0,12,0,12,225.64,280,7253,114196,1036,4480,0,575,1880,2216,8990,0.47,0.64,166.16,1.06,0.12,0.01,127540,
2022,September,521,521,442.85,78.15,1247.28,323672,2000,12,0,0,0,12,0,12,233.58,280,4280,118311,1036,4480,0,299,2250,2744,8990,0.23,0.55,143.85,0.89,0.1,0.01,128406,
2022,October,246,246,209.1,36.9,1260.83,327436,2000,12,0,0,0,12,0,12,236.23,280,2025,119155,1036,4480,0,299,3720,4268,8990,0.07,0.34,88.02,0.54,0.06,0,126995,
2022,November,118,118,100.3,17.7,1098.24,282272,2000,12,0,0,0,12,0,12,204.48,280,970,102863,1036,4480,0,299,3475,3939,8990,0.03,0.32,81.23,0.58,0.06,0,109648,
2022,December,118,118,100.3,17.7,1071.14,274745,2000,291,279,0,279,12,0,12,199.19,280,971,99759,1036,4480,0,299,3723,3949,8990,0.03,0.29,73.8,0.54,0.05,0.08,106545,
